fuel,name,value,scenario,dots,step,filename
Gas (pipeline),Supply Shock,0.3177017168104395,5,48,1,scenario 5 step 1.csv
"Gas (pipeline, excluding Norway and United Kingdom)",Supply Shock,0.1024864024145755,5,15,1,scenario 5 step 1.csv
Gas (LNG),Supply Shock,0.3667292628396162,5,55,1,scenario 5 step 1.csv
Oil and petroleum products,Supply Shock,0.4755489178016503,5,71,1,scenario 5 step 1.csv
Coal,Supply Shock,0.04859275228842638,5,7,1,scenario 5 step 1.csv
Uranium (Average),Supply Shock,0.076516783,5,11,1,scenario 5 step 1.csv
Onshore Wind,Supply Shock,0.003984922930982822,5,1,1,scenario 5 step 1.csv
Offshore Wind,Supply Shock,0.01149612165342757,5,2,1,scenario 5 step 1.csv
Solar,Supply Shock,0.006029742988962439,5,1,1,scenario 5 step 1.csv
