fuel,name,value,scenario,dots,step,filename
Gas (pipeline),Supply Shock,0.2161715163351998,1,32,1,scenario 1 step 1.csv
Gas (pipeline excluding NO and UK),Supply Shock,0.07174490203571683,1,11,1,scenario 1 step 1.csv
Gas (LNG),Supply Shock,0.2499173595888469,1,37,1,scenario 1 step 1.csv
Oil and petroleum products,Supply Shock,0.325765033320805,1,49,1,scenario 1 step 1.csv
Coal,Supply Shock,0.03148593291224001,1,5,1,scenario 1 step 1.csv
Uranium (AVERAGE),Supply Shock,0.04839837964494104,1,7,1,scenario 1 step 1.csv
Gas (pipeline),Price Shock,0.3059127540000001,1,46,2,scenario 1 step 2.csv
Gas (pipeline excluding NO and UK),Price Shock,0.3059127540000001,1,46,2,scenario 1 step 2.csv
Gas (LNG),Price Shock,0.2570968890000001,1,39,2,scenario 1 step 2.csv
Oil and petroleum products,Price Shock,0.211534617,1,32,2,scenario 1 step 2.csv
Coal,Price Shock,0.02329068,1,3,2,scenario 1 step 2.csv
Uranium (AVERAGE),Price Shock,0.05243196,1,8,2,scenario 1 step 2.csv
